codedName;INCI_name;INN name;Ph. Eur. Name;CAS;EC_No;IUPAC_Name;Restriction;Function
L4644;PEG-5 SOYAMINE;;;61791-24-0;;Amines, soya alkyl, ethoxylated;;Emulsifying/surfactant
L4645;PEG-5 STEARAMINE;;;;;;;Antistatic/emulsifying
L4646;PEG-5 STEARATE;;;9004-99-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.- hydroxy-;;Emulsifying/surfactant
L4647;PEG-5 STEARYL AMMO- NIUM CHLORIDE;;;;;;;Antistatic/surfactant
L4648;PEG-5 STEARYL AMMO- NIUM LACTATE;;;;;;;Antistatic/surfactant
L4649;PEG-5 TALL OIL STEROL ETHER;;;;;;;Antistatic
L4650;PEG-5 TALLATE;;;61791-00-2;;Fatty acids, tall-oil, ethoxylated;;Emulsifying
L4651;PEG-5 TALLOW AMIDE;;;68155-24-8/8051-61-4;;Amides, tallow, hydrogenated,  ethoxylated;;Emulsifying
L4652;PEG-5 TALLOW BENZO- NIUM CHLORIDE;;;;;;;Antistatic/surfactant
L4653;PEG-5 TRICAPRYLYL CITRATE;;;;;;;Emulsifying
L4654;PEG-5  TRICETYL CITRATE;;;;;;;Emollient
L4655;PEG-5 TRIDECYL CITRATE;;;;;;;Emollient
L4656;PEG-5 TRILAURYL CITRATE;;;;;;;Emollient
L4657;PEG-5 TRIMETHYLOLPRO- PANE TRIMYRISTATE;;;;;;;Emulsifying
L4658;PEG-5 TRIMYRISTYL CITRATE;;;;;;;Emollient
L4659;PEG-5 TRISTEARYL CITRATE;;;;;;;Emollient
L4660;PEG-6;;;2615-15-8;220-045-1;3,6,9,12,15-pentaoxaheptadecane-1,17-diol;;Humectant/solvent
L4661;PEG-6 ALMOND GLYCER- IDES;;;226993-90-4;;Mono- and diglycerides, almond oil, ethoxylated (6 mol EO average molar ratio);;Emollient/emulsifying
L4662;PEG-6 BEESWAX;;;;;;;Emulsifying
L4663;PEG-6 CAPRYLIC/CAPRIC GLYCERIDES;;;;;;;Emulsifying
L4664;PEG-6 COCAMIDE;;;61791-08-0;;Fatty acids, coco, reaction products with ethanolamine, ethoxylated;;Emulsifying/surfactant
L4665;PEG-6 DILAURATE;;;2595081;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxododecyl)-.omega.- [(1-oxododecyl)oxy]-;;Emulsifying
L4666;PEG-6 DIOLEATE;;;2595236;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-. omega.-[(1-oxo-9-octadecenyl)oxy]-, (Z,Z)-;;Emulsifying
L4667;PEG-6 DISTEARATE;;;2595268;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.- [(1-oxooctadecyl)oxy]-;;Emulsifying
L4668;PEG-6 ISOLAURYL THIOETHER;;;13081-34-0;;Poly(oxy-1,2-ethanediyl), .alpha.-[2-(dodecylthio)ethyl]-. omega.-hydroxy-;;Emulsifying
L4669;PEG-6 ISOPALMITATE;;;;;;;Emulsifying
L4670;PEG-6 ISOSTEARATE;;;56002-14-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxoisooctadecyl)-. omega.-hydroxy-;;Emulsifying
L4671;PEG-6 LANOLATE;;;;;Fatty acids, lanolin, ethoxylated;;Emulsifying
L4672;PEG-6 LAURAMIDE;;;26635-75-6;;Poly(oxy-1,2-ethanediyl), .alpha.-[2-[(1-oxododecyl)amino] ethyl]-.omega.-hydroxy-;;Emulsifying
L4673;PEG-6 LAURATE;;;9004-81-3/2370-64-1;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxododecyl)-.omega.- hydroxy-;;Emulsifying
L4674;PEG-6 LAURATE/TARTA- RATE;;;;;;;Emulsifying
L4675;PEG-6 METHYL ETHER;polyethylene glycol monomethyl  ether;;9004-74-4;;Poly(oxy-1,2-ethanediyl), .alpha.-methyl-.omega.-hydroxy-;;solvent
L4676;PEG-6 OLEAMIDE;;;26027-37-2;;Poly(oxy-1,2-ethanediyl), .alpha.-[2-[(1-oxo-9-octadecenyl) amino]ethyl]-.omega.-hydroxy-;;Emulsifying
L4677;PEG-6 OLEATE;;;9004-96-0/60344-26-5;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-. omega.-hydroxy-, (Z)-;;Emulsifying/surfactant
L4678;PEG-6 PALMITATE;;;9004-94-8;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxohexadecyl)-.omega.- hydroxy-;;Emulsifying/surfactant
L4679;PEG-6 SORBITAN BEES- WAX;;;;;1,4-Anhydro-D-glucitol, ethoxylated, esters with beeswax (6 mol EO average molar  ratio);;Emulsifying/surfactant
L4680;PEG-6 SORBITAN OLEATE;;;9005-65-6;;Sorbitan, mono-9-octadecenoate, poly(oxy-1,2-ethanediyl) derivs., (Z)-;;Emulsifying
L4681;PEG-6 SORBITAN STEA- RATE;;;9005-67-8;;Sorbitan, monooctadecanoate, poly(oxy-1,2-ethanediyl) derivs;;Emulsifying
L4682;PEG-6 STEARATE;;;9004-99-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.- hydroxy-;;Emulsifying
L4683;PEG-6  UNDECYLENATE;;;;;;;Antidandruff/surfactant
L4684;PEG-7;;;;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, (7 mol EO average molar  ratio);;Humectant/solvent
L4685;PEG-7 BETANAPHTHOL;;;;;;;Viscosity controlling
L4686;PEG-7 COCAMIDE;;;61791-08-0;;Fatty acids, coco, reaction products with ethanolamine, ethoxylated;;Emulsifying/surfactant
L4687;PEG-7 GLYCERYL COCO- ATE;;macrogoli 7 glyceroli cocoas;68201-46-7/66105-29-1;;Glycerides, coco mono- and di-,   ethoxylated;;Emulsifying/surfactant
L4688;PEG-7 HYDROGENATED CASTOR OIL;;;61788-85-0;;Castor oil,  hydrogenated, ethoxylated;;Emulsifying/surfactant
L4689;PEG-7 LANOLATE;;;68459-50-7;;Fatty acids, lanolin, ethoxylated;;Emulsifying
L4690;PEG-7M;;;25322-68-3;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-;;Binding/emulsion stabilising/visc- osity controlling
L4691;PEG-7 OLEAMIDE;;;26027-37-2;;Poly(oxy-1,2-ethanediyl), .alpha.-[2-[(1-oxo-9-octadecenyl) amino]ethyl]-.omega.-hydroxy-;;Emulsifying
L4692;PEG-7 OLEATE;;;9004-96-0;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-. omega.-hydroxy-, (Z)-;;Emulsifying/surfactant
L4693;PEG-7  RICINOLEATE;;;9004-97-1;;Poly(oxy-1,2-ethanediyl), .alpha.-(12-hydroxy-1-oxo-9-octa- decenyl)-.omega.-hydroxy-,   [r-(Z)]-;;Emulsifying
L4694;PEG-7 STEARATE;;;9004-99-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.- hydroxy-;;Emulsifying
L4695;PEG-7 TALLOW AMINE;;;;;;;Emulsifying
L4696;PEG-8;;;5117-19-1/25322-68-3;225-856-4;3,6,9,12,15,18,21-heptaoxatricosane-1,23-diol;;Humectant/solvent
L4697;PEG-8 BEESWAX;;;;;;;Emulsifying
L4698;PEG-8 BEHENATE;;;;;;;Emulsifying
L4699;PEG-8 C12-18 ESTER;;;;;;;Emulsifying
L4700;PEG-8 CAPRATE;;;;;;;Emulsifying
L4701;PEG-8 CAPRYLATE;;;;;;;Emulsifying
L4702;PEG-8 CAPRYLATE/CAP- RATE;;;;;;;Emulsifying
L4703;PEG-8 CAPRYLIC/CAPRIC GLYCERIDES;;;;;;;Emulsifying
L4704;PEG-8 CASTOR OIL;;;61791-12-6;;Castor oil, ethoxylated;;Emulsifying/surfactant
L4705;PEG-8 COCOATE;;;61791-29-5;;Fatty acids, coco, ethoxylated;;Emulsifying
L4706;PEG-8 DI/TRIRICINOLE- ATE;;;;;;;Emulsifying
L4707;PEG-8 DICOCOATE;;;;;;;Emulsifying
L4708;PEG-8 DIISOSTEARATE;;;;;;;Emulsifying
L4709;PEG-8 DILAURATE;;;2595081;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxododecyl)-.omega.- [(1-oxododecyl)oxy]-;;Emulsifying
L4710;PEG-8 DIOLEATE;;;2595236;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-. omega.-[(1-oxo-9-octadecenyl)oxy]-, (Z,Z)-;;Emulsifying
L4711;PEG-8 DISTEARATE;;;2595268;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.- [(1-oxooctadecyl)oxy]-;;Emulsifying
L4712;PEG-8 DITALLATE;;;61791-01-3;;Fatty acids, tall-oil, diester with polyethylene  glycol;;Emulsifying
L4713;PEG-8 GLYCERYL LAU- RATE;;;59070-56-3;;Poly(oxy-1,2-ethanediyl), .alpha.,.alpha.',.alpha.''-1,2,3-pro- panetriyltris-.omega.-hydroxy-,  monododecanoate;;Emulsifying
L4714;PEG-8 HYDROGENATED FISH GLYCERIDES;;;;;;;Emollient/emulsifying
L4715;PEG-8 HYDROGENATED TALLOW AMINE;;;61791-26-2;;Amines, tallow alkyl, ethoxylated;;Emulsifying
L4716;PEG-8 ISOLAURYL THIOETHER;;;13081-34-0;;Poly(oxy-1,2-ethanediyl), .alpha.-[2-(dodecylthio)ethyl]-. omega.-hydroxy-;;Emulsifying
L4717;PEG-8 ISOSTEARATE;;;56002-14-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxoisooctadecyl)-. omega.-hydroxy-;;Emulsifying
L4718;PEG-8 LANOLATE;;;;;Fatty acids, lanolin, ethoxylated;;Emulsifying
L4719;PEG-8 LAURATE;;;9004-81-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxododecyl)-.omega.- hydroxy-;;Emulsifying/surfactant
L4720;PEG-8 LINOLEATE;;;;;;;Emollient
L4721;PEG-8  LINOLENATE;;;;;;;Emollient
L4722;PEG-8 MYRISTATE;;;;;;;Emulsifying
L4723;PEG-8 OLEATE;;;9004-96-0;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-. omega.-hydroxy-, (Z)-;;Emulsifying
L4724;PEG-8 PALMITOYL METHYL DIETHONIUM METHOSULFATE;;;;;;;Antistatic
L4725;PEG-8 PROPYLENE GLY- COL COCOATE;;;126645-98-5;;Fatty acids, coco, ethoxylated,  propoxylated;;Emulsifying/surfactant
L4726;PEG-8  RICINOLEATE;;;9004-97-1;;Poly(oxy-1,2-ethanediyl), .alpha.-(12-hydroxy-1-oxo-9-octa- decenyl)-.omega.-hydroxy-,   [r-(Z)]-;;Surfactant
L4727;PEG-8  SESQUILAURATE;;;;;;;Emulsifying
L4728;PEG-8  SESQUIOLEATE;;;;;;;Emulsifying
L4729;PEG-8 SORBITAN BEES- WAX;;;;;;;Emulsifying/surfactant
L4730;PEG-8 SOYAMINE;;;61791-24-0;;Amines, soya alkyl, ethoxylated;;Emulsifying/surfactant
L4731;PEG-8 STEARATE;polyoxyl 8 stearate;;9004-99-3/70802-40-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.- hydroxy-;;Emulsifying/humectant/surfactant
L4732;PEG-8 TALLATE;;;61791-00-2;;Fatty acids, tall-oil, ethoxylated;;Emulsifying
L4733;PEG-8 TALLOW AMIDE;;;68155-24-8;;Amides, tallow, hydrogenated,  ethoxylated;;Emulsifying
L4734;PEG-8  UNDECYLENATE;;;;;;;Emulsifying
L4735;PEG-8/SMDI  COPOLYMER;;;39444-87-6;;;;Film forming
L4736;PEG-9;;;25322-68-3;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-;;Humectant/solvent
L4737;PEG-9 CASTOR OIL;;;61791-12-6;;Castor oil, ethoxylated;;Emulsifying/surfactant
L4738;PEG-9 COCOATE;;;;;;;Emulsifying
L4739;PEG-9  COCOGLYCERIDES;;;67762-35-0;;Mono- and diglycerides, coconut oil,   ethoxylated;;Emollient/emulsifying
L4740;PEG-9 DIETHYLMONIUM CHLORIDE;;;;;;;Emulsifying
L4741;PEG-9 DISTEARATE;;;2595268;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.- [(1-oxooctadecyl)oxy]-;;Emulsifying
L4742;PEG-9 LAURATE;;;106-08-1;203-359-3;26-hydroxy-3,6,9,12,15,18,21,24-octaoxahexacos-1-yl lau- rate;;Emulsifying
L4743;PEG-9M;;;25322-68-3;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-;;Binding/emulsion stabilising/visc- osity controlling
L4744;PEG-9 OLEAMIDE;;;26027-37-2;;Poly(oxy-1,2-ethanediyl), .alpha.-[2-[(1-oxo-9-octadecenyl) amino]ethyl]-.omega.-hydroxy-;;Emulsifying
L4745;PEG-9 OLEATE;;;9004-96-0;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-. omega.-hydroxy-, (Z)-;;Emulsifying
L4746;PEG-9  RICINOLEATE;;;9004-97-1;;Poly(oxy-1,2-ethanediyl), .alpha.-(12-hydroxy-1-oxo-9-octa- decenyl)-.omega.-hydroxy-,   [r-(Z)]-;;surfactant
L4747;PEG-9 STEARAMIDE CAR- BOXYLIC ACID;;;;;;;Emulsifying
L4748;PEG-9 STEARATE;;;5349-52-0/9004-99-3;226-312-9;26-hydroxy-3,6,9,12,15,18,21,24-octaoxahexacos-1-yl stea- rate;;Emulsifying
L4749;PEG-10;;;25322-68-3;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-;;Humectant/solvent
L4750;PEG-10 CASTOR OIL;;;61791-12-6;;Castor oil, ethoxylated;;Emulsifying/surfactant
L4751;PEG-10 COCAMINE;;;61791-14-8;;Amines, coco alkyl, ethoxylated;;Emulsifying/surfactant
L4752;PEG-10 COCOATE;;;;;;;Emulsifying
L4753;PEG-10 COCO-BENZO- NIUM CHLORIDE;;;;;;;Antistatic/surfactant
L4754;PEG-10 COCONUT OIL ESTERS;;;;;;;Antistatic/emollient
L4755;PEG-10 DIOLEATE;;;2595236;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-. omega.-[(1-oxo-9-octadecenyl)oxy]-, (Z,Z)-;;Emulsifying
L4756;PEG-10 GLYCERYL OLEATE;;;68889-49-6;;9-octadecenoic acid (Z)-, 1,2,3-propanetriyl ester, polymer with .alpha.-hydro-.omega.-hydroxypoly(oxy-1,2-ethanediyl);;Emulsifying
L4757;PEG-10 GLYCERYL PIBSA TALLATE;;;;;;;Emulsifying
L4758;PEG-10 GLYCERYL STEA- RATE;;;51158-08-8;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, ether  with  1,2,3-propanetriol  monooctadecanoate  (2:1);;Emulsifying
L4759;PEG-10 HYDROGENATED CASTOR OIL;;;61788-85-0;;Castor oil,  hydrogenated, ethoxylated;;Emollient/emulsifying
L4760;PEG-10 HYDROGENATED LANOLIN;;;68648-27-1;;Lanolin,  hydrogenated, ethoxylated;;Emollient/emulsifying
L4761;PEG-10 HYDROGENATED TALLOW AMINE;;;61791-26-2;;Amines, tallow alkyl, ethoxylated;;Emulsifying
L4762;PEG-10 ISOLAURYL THIOETHER;;;13081-34-0;;Poly(oxy-1,2-ethanediyl), .alpha.-[2-(dodecylthio)ethyl]-. omega.-hydroxy-;;Emulsifying
L4763;PEG-10 ISOSTEARATE;;;56002-14-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxoisooctadecyl)-. omega.-hydroxy-;;Emulsifying/surfactant
L4764;PEG-10 LANOLATE;;;68459-50-7;;Fatty acids, lanolin, ethoxylated;;Emulsifying
L4765;PEG-10 LANOLIN;;;61790-81-6;;Lanolin, ethoxylated;;Emollient/emulsifying
L4766;PEG-10 LAURATE;;;9004-81-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxododecyl)-.omega.- hydroxy-;;Emulsifying
L4767;PEG-10 OLEATE;;;9004-96-0;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-. omega.-hydroxy-, (Z)-;;Emulsifying
L4768;PEG-10 OLIVE GLYCER- IDES;;;;;;;Emulsifying
L4769;PEG-10 POLYGLYCERYL-2 LAURATE;;;;;;;Emollient
L4770;PEG-10 PROPYLENE GLY- COL;;;2594628;;Oxirane,  methyl-, polymer  with oxirane;;Humectant
L4771;PEG-10 SORBITAN LAU- RATE;;;9005-64-5;;Sorbitan, monododecanoate, poly(oxy-1,2-ethanediyl)  derivs;;Emulsifying
L4772;PEG-10 SOYA STEROL;;;;;;;Emulsifying
L4773;PEG-10 SOYAMINE;;;61791-24-0;;Amines, soya alkyl, ethoxylated;;Emulsifying/surfactant
L4774;PEG-10 STEARAMINE;;;;;;;antistatic/emulsifying
L4775;PEG-10 STEARATE;;;9004-99-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.- hydroxy-;;Emulsifying/surfactant
L4776;PEG-10 STEARYL BENZO- NIUM CHLORIDE;;;;;;;Antistatic/surfactant
L4777;PEG-10 SUNFLOWER GLY- CERIDES;;;180254-52-8;;Glycerides, sunflower, ethoxylated;;Emollient/emulsifying
L4778;PEG-10 TALLATE;;;61791-00-2;;Fatty acids, tall-oil, ethoxylated;;Emulsifying
L4779;PEG-10 TALLOW AMINO- PROPYLAMINE;;;61790-85-0;;Amines, N-tallow alkyltrimethylenedi-,  ethoxylated;;Emulsifying
L4780;PEG-11 AVOCADO GLY- CERIDES;;;;;;;Emulsifying
L4781;PEG-11 BABASSU GLY- CERIDES;;;;;;;Emulsifying
L4782;PEG-11 CASTOR OIL;;;61791-12-6;;Castor oil, ethoxylated;;Emollient/emulsifying
L4783;PEG-11 COCAMIDE;;;61791-08-0;;Fatty acids, coco, reaction products with ethanolamine, ethoxylated;;Emulsifying/surfactant
L4784;PEG-11 OLEATE;;;9004-96-0;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-. omega.-hydroxy-, (Z)-;;Emulsifying
L4785;PEG-11 TALLOW AMINE;;;;;;;Emulsifying
L4786;PEG-12;;;6790-09-6/25322-68-3;229-859-1;3,6,9,12,15,18,21,24,27,30,33-undecaoxapentatriacontane- 1,35-diol;;Humectant/solvent
L4787;PEG-12  BEESWAX;;;;;;;Emulsifying
L4788;PEG-12 CARNAUBA;;;223705-69-6;;Carnauba Wax, ethoxylated (12 mol EO average molar  ratio);;Emulsion stabilising
L4789;PEG-12 DILAURATE;;;2595081;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxododecyl)-.omega.- [(1-oxododecyl)oxy]-;;Emulsifying
L4790;PEG-12 DIOLEATE;;;2595236;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-. omega.-[(1-oxo-9-octadecenyl)oxy]-, (Z,Z)-;;Emulsifying
L4791;PEG-12 DISTEARATE;;;2595268;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.- [(1-oxooctadecyl)oxy]-;;Emulsifying
L4792;PEG-12  DITALLATE;;;61791-01-3;;Fatty acids, tall-oil, diester with polyethylene  glycol;;Emulsifying
L4793;PEG-12 GLYCERYL DIOLE- ATE;;;57107-97-8;;;;Emulsifying
L4794;PEG-12 GLYCERYL LAU- RATE;;;59070-56-3;;Poly(oxy-1,2-ethanediyl), .alpha.,.alpha.',.alpha.''-1,2,3-pro- panetriyltris-.omega.-hydroxy-,  monododecanoate;;Emulsifying
L4795;PEG-12 ISOSTEARATE;;;56002-14-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxoisooctadecyl)-. omega.-hydroxy-;;Emulsifying
L4796;PEG-12 LANOLATE;;;;;Fatty acids, lanolin, ethoxylated;;Emulsifying
L4797;PEG-12 LAURATE;;;9004-81-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxododecyl)-.omega.- hydroxy-;;Emulsifying
L4798;PEG-12 OLEATE;;;9004-96-0;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-. omega.-hydroxy-, (Z)-;;Emulsifying
L4799;PEG-12 PALM KERNEL GLYCERIDES;;;;;;;Emulsifying
L4800;PEG-12 STEARATE;;;9004-99-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.- hydroxy-;;Emulsifying
L4801;PEG-12 TALLATE;;;61791-00-2;;Fatty acids, tall-oil, ethoxylated;;Emulsifying
L4802;PEG-13 DIPHENYLOL PROPANE;;;;;;;Emulsifying
L4803;PEG-13 ETHYLHEXANO- ATE;;;;;;;Emulsifying
L4804;PEG-13 HYDROGENATED TALLOW AMIDE;;;;;;;Emulsifying
L4805;PEG-13 MINK GLYCERIDES;;;;;;;Emulsifying
L4806;PEG-13 SUNFLOWER GLY- CERIDES;;;70377-91-2;;Glycerides, sunflower, ethoxylated;;Emollient/emulsifying
L4807;PEG-14;;;25322-68-3;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-;;Humectant/solvent
L4808;PEG-14 AVOCADO GLY- CERIDES;;;;;;;Emulsifying
L4809;PEG-14 LAURATE;;;9004-81-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxododecyl)-.omega.- hydroxy-;;Emulsifying
L4810;PEG-14M;;;25322-68-3;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-;;Binding/emulsion stabilising/visc- osity controlling
L4811;PEG-14 OLEATE;;;9004-96-0;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-. omega.-hydroxy-, (Z)-;;Emulsifying
L4812;PEG-14 STEARATE;;;9004-99-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.- hydroxy-;;Emulsifying
L4813;PEG-14 TALLATE;;;;;;;Emulsifying
L4814;PEG-15 BUTANEDIOL;;;;;;;Emulsifying
L4815;PEG-15 CASTOR OIL;;;61791-12-6;;Castor oil, ethoxylated;;Emulsifying/surfactant
L4816;PEG-15 COCAMINE;;;61791-14-8;;Amines, coco alkyl, ethoxylated;;Emulsifying/surfactant
L4817;PEG-15 COCAMINE OLE- ATE/PHOSPHATE;;;;;;;Emulsifying
L4818;PEG-15 COCOATE;;;61791-29-5;;Fatty acids, coco, ethoxylated;;Emulsifying
L4819;PEG-15 COCOMONIUM CHLORIDE;;;;;;;Antistatic/emulsifying/surfactant
L4820;PEG-15 COCOPOLYAMINE;;;;;;;Antistatic/emulsifying
L4821;PEG-15 DEDM HYDAN- TOIN;;;;;;;Antimicrobial
L4822;PEG-15 DEDM HYDAN- TOIN STEARATE;;;;;;;Antimicrobial
L4823;PEG-15 GLYCERYL ISO- STEARATE;;;68958-58-7;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, ether with 1,2,3-propanetriol mono(16-methylheptade- canoate) (2:1);;Emulsifying
L4824;PEG-15 GLYCERYL LAU- RATE;;;59070-56-3;;Poly(oxy-1,2-ethanediyl), .alpha.,.alpha.',.alpha.''-1,2,3-pro- panetriyltris-.omega.-hydroxy-,  monododecanoate;;Emulsifying
L4825;PEG-15 GLYCERYL OLEATE;;;68889-49-6;;9-octadecenoic acid (Z)-, 1,2,3-propanetriyl ester, polymer with .alpha.-hydro-.omega.-hydroxypoly(oxy-1,2-ethanediyl);;Emulsifying
L4826;PEG-15 GLYCERYL RICI- NOLEATE;;;51142-51-9;;Poly(oxy-1,2-ethanediyl), .alpha.,.alpha.',.alpha.''-1,2,3-pro- panetriyltris-.omega.-hydroxy-, [r-(Z)]-12-hydroxy-9-octade- cenoate;;Emulsifying
L4827;PEG-15 HYDROGENATED TALLOW AMINE;;;61791-26-2;;Amines, tallow alkyl, ethoxylated;;Emulsifying/surfactant
L4828;PEG-15 HYDROXYSTEA- RATE;;;;;;;Emulsifying
L4829;PEG-15 JOJOBA ACID;;;;;;;Emulsifying
L4830;PEG-15 JOJOBA ALCOHOL;;;;;;;Emulsifying
L4831;PEG-15 LANOLATE;;;68459-50-7;;Fatty acids, lanolin, ethoxylated;;Emulsifying
L4832;PEG-15 OLEAMINE;;;;;;;Emulsifying
L4833;PEG-15 OLEAMMONIUM CHLORIDE;;;;;;;Antistatic/surfactant
L4834;PEG-15 OLEATE;;;9004-96-0;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-. omega.-hydroxy-, (Z)-;;Emulsifying
L4835;PEG-15 SOYAMINE;;;61791-24-0;;Amines, soya alkyl, ethoxylated;;Emulsifying/surfactant
L4836;PEG-15 STEARAMINE;;;;;;;Antistatic/emulsifying
L4837;PEG-15 STEARMONIUM CHLORIDE;;;;;;;Antistatic/surfactant
L4838;PEG-15 TALLATE;;;;;Fatty acids, tall-oil, ethoxylated;;Emulsifying
L4839;PEG-15 TALLOW AMINE;;;61791-26-2;;Tallow amines, ethoxylated (15 mol EO average molar  ratio);;Antistatic
L4840;PEG-15 TALLOW AMINO- PROPYLAMINE;;;61790-85-0;;Amines, N-tallow alkyltrimethylenedi-,  ethoxylated;;Emulsifying
L4841;PEG-15 TALLOW POLYA- MINE;;;63601-33-2;;;;Antistatic/emulsifying
L4842;PEG-16;;;25322-68-3;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-;;Humectant/solvent
L4843;PEG-16 CASTOR OIL;;;;;Castor oil, ethoxylated;;Emollient/emulsifying
L4844;PEG-16 HYDROGENATED CASTOR OIL;;;61788-85-0;;Castor oil,  hydrogenated, ethoxylated;;Emulsifying/surfactant
L4845;PEG-16 OLEATE;;;;;;;Emulsifying
L4846;PEG-16 SOYA STEROL;;;;;;;Emulsifying
L4847;PEG-16 TALLATE;;;61791-00-2;;Fatty acids, tall-oil, ethoxylated;;Emulsifying
L4848;PEG-18;;;25322-68-3;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-;;Humectant/solvent
L4849;PEG-18 CASTOR OIL DIOLEATE;;;;;;;Emulsifying
L4850;PEG-18 GLYCERYL OLE- ATE/COCOATE;;;;;;;Emulsifying
L4851;PEG-18 PALMITATE;;;9004-94-8;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxohexadecyl)-.omega.- hydroxy-;;Emulsifying
L4852;PEG-18 STEARATE;;;9004-99-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.- hydroxy-;;Emulsifying
L4853;PEG-20;macrogol 1000;;25322-68-3;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-;;Humectant/solvent
L4854;PEG-20 ALMOND GLY- CERIDES;;;;;;;Emulsifying
L4855;PEG-20 BEESWAX;;;;;;;Emulsifying
L4856;PEG-20 CASTOR OIL;;;61791-12-6;;Castor oil, ethoxylated;;Emulsifying/surfactant
L4857;PEG-20 COCAMIDE;;;61791-08-0;;Fatty acids, coco, reaction products with ethanolamine, ethoxylated;;Emulsifying
L4858;PEG-20 COCAMINE;;;61791-14-8;;Amines, coco alkyl, ethoxylated;;Emulsifying/surfactant
L4859;PEG-20 CORN GLYCER- IDES;;;;;;;Emulsifying
L4860;PEG-20 DILAURATE;;;2595081;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxododecyl)-.omega.- [(1-oxododecyl)oxy]-;;Emulsifying
